Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:13.51,"urn:cite:hmt:vaimg.VA165RN-0336@0.197,0.1976,0.378,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:13.52,"urn:cite:hmt:vaimg.VA165RN-0336@0.192,0.2239,0.442,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:13.53,"urn:cite:hmt:vaimg.VA165RN-0336@0.201,0.2419,0.406,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:13.54,"urn:cite:hmt:vaimg.VA165RN-0336@0.193,0.2577,0.416,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:13.55,"urn:cite:hmt:vaimg.VA165RN-0336@0.195,0.2795,0.412,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:13.56,"urn:cite:hmt:vaimg.VA165RN-0336@0.197,0.2983,0.433,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.57,"urn:cite:hmt:vaimg.VA165RN-0336@0.182,0.3201,0.433,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.58,"urn:cite:hmt:vaimg.VA165RN-0336@0.185,0.3373,0.433,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.59,"urn:cite:hmt:vaimg.VA165RN-0336@0.191,0.3569,0.391,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:13.60,"urn:cite:hmt:vaimg.VA165RN-0336@0.189,0.3772,0.446,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:13.61,"urn:cite:hmt:vaimg.VA165RN-0336@0.18,0.3959,0.463,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.62,"urn:cite:hmt:vaimg.VA165RN-0336@0.187,0.4125,0.41,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:13.63,"urn:cite:hmt:vaimg.VA165RN-0336@0.187,0.432,0.436,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:13.64,"urn:cite:hmt:vaimg.VA165RN-0336@0.189,0.4523,0.36,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:13.65,"urn:cite:hmt:vaimg.VA165RN-0336@0.181,0.4703,0.389,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.66,"urn:cite:hmt:vaimg.VA165RN-0336@0.174,0.4861,0.395,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:13.67,"urn:cite:hmt:vaimg.VA165RN-0336@0.171,0.5086,0.431,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.68,"urn:cite:hmt:vaimg.VA165RN-0336@0.177,0.5267,0.411,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:13.69,"urn:cite:hmt:vaimg.VA165RN-0336@0.178,0.547,0.424,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:13.70,"urn:cite:hmt:vaimg.VA165RN-0336@0.179,0.5665,0.408,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:13.71,"urn:cite:hmt:vaimg.VA165RN-0336@0.174,0.5838,0.41,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:13.72,"urn:cite:hmt:vaimg.VA165RN-0336@0.174,0.6018,0.405,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:13.73,"urn:cite:hmt:vaimg.VA165RN-0336@0.172,0.6213,0.405,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:13.74,"urn:cite:hmt:vaimg.VA165RN-0336@0.174,0.6416,0.433,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:13.75,"urn:cite:hmt:vaimg.VA165RN-0336@0.173,0.6612,0.433,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:13.76,"urn:cite:hmt:vaimg.VA165VN-0667@0.473,0.2216,0.47,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.77,"urn:cite:hmt:vaimg.VA165VN-0667@0.471,0.2419,0.47,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.78,"urn:cite:hmt:vaimg.VA165VN-0667@0.473,0.2637,0.47,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.79,"urn:cite:hmt:vaimg.VA165VN-0667@0.476,0.2802,0.47,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.80,"urn:cite:hmt:vaimg.VA165VN-0667@0.471,0.3005,0.47,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.81,"urn:cite:hmt:vaimg.VA165VN-0667@0.47,0.3208,0.47,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:13.82,"urn:cite:hmt:vaimg.VA165VN-0667@0.472,0.3411,0.431,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.83,"urn:cite:hmt:vaimg.VA165VN-0667@0.476,0.3554,0.431,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.84,"urn:cite:hmt:vaimg.VA165VN-0667@0.478,0.3749,0.386,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:13.85,"urn:cite:hmt:vaimg.VA165VN-0667@0.478,0.3907,0.434,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:13.86,"urn:cite:hmt:vaimg.VA165VN-0667@0.48,0.408,0.421,0.0301"
